sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,severity
0,7.824793269,7.94401067673059,1180.682,1169.7104058975315,1163.4509918854903,-6.259414012041134,-17.231008114509677,0.05
1,7.824793269,7.417910237281119,1180.682,1169.7104058975315,1191.0560939897252,21.345688092193768,10.374093989725225,0.05
2,7.824793269,8.118399542282967,1180.682,1169.7104058975315,1154.294844898557,-15.41556099897457,-26.387155101443113,0.05
3,7.824793269,8.192779492093843,1180.682,1169.7104058975315,1150.38958551636,-19.320820381171416,-30.29241448363996,0.05
4,7.824793269,7.061470918411966,1180.682,1169.7104058975315,1209.6063925480757,39.89598665054427,28.92439254807573,0.05
5,7.824793269,7.315328996983699,1180.682,1169.7104058975315,1196.4017425368593,26.6913366393278,15.719742536859258,0.05
6,7.824793269,7.8748095053104805,1180.682,1169.7104058975315,1167.084343677668,-2.62606221986357,-13.597656322332114,0.05
7,7.824793269,7.701066623602941,1180.682,1169.7104058975315,1176.2065738029041,6.496167905372658,-4.475426197095885,0.05
8,7.824793269,7.818219989792452,1180.682,1169.7104058975315,1170.0555306302363,0.3451247327047895,-10.626469369763754,0.05
9,7.824793269,7.491048649868046,1180.682,1169.7104058975315,1187.2219856462382,17.51157974870671,6.539985646238165,0.05
10,7.824793269,8.168848636723943,1180.682,1169.7104058975315,1151.6460558110418,-18.06435008648964,-29.035944188958183,0.05
11,7.824793269,8.129096324051345,1180.682,1169.7104058975315,1153.7332189836902,-15.977186913841251,-26.948781016309795,0.05
12,7.824793269,7.850627096891218,1180.682,1169.7104058975315,1168.3540215626838,-1.3563843348476894,-12.327978437316233,0.05
13,7.824793269,8.265814739441145,1180.682,1169.7104058975315,1146.5549286544049,-23.155477243126597,-34.12707134559514,0.05
14,7.824793269,8.007701466722422,1180.682,1169.7104058975315,1160.1069582338469,-9.60344766368462,-20.575041766153163,0.05
15,7.824793269,7.4886039750164395,1180.682,1169.7104058975315,1187.3501419448796,17.63973604734815,6.668141944879608,0.05
16,7.824793269,7.96906320166136,1180.682,1169.7104058975315,1162.1356292335613,-7.5747766639701695,-18.546370766438713,0.05
17,7.824793269,7.449640362963602,1180.682,1169.7104058975315,1189.392717176966,19.682311279434543,8.710717176966,0.05
